,Region,Area,Remain,Leave,Electorate,Valid_Votes
0,East,Peterborough,34176,53216,120892,87392
1,East,Luton,36708,47773,127612,84481
2,East,Southend-on-Sea,39348,54522,128856,93870
3,East,Thurrock,22151,57765,109897,79916
4,East,Bedford,41497,44569,119530,86066
5,East,Central Bedfordshire,69670,89134,204004,158804
6,East,Cambridge,42682,15117,80108,57799
7,East,East Cambridgeshire,23599,24487,62435,48086
8,East,Fenland,15055,37571,71447,52626
9,East,Huntingdonshire,45729,54198,128486,99927
10,East,South Cambridgeshire,56128,37061,114830,93189
11,East,Basildon,30748,67251,132771,97999
12,East,Braintree,33523,52713,112562,86236
13,East,Brentwood,19077,27627,58777,46704
14,East,Castle Point,14154,37691,68860,51845
15,East,Chelmsford,47545,53249,129971,100794
16,East,Colchester,44414,51305,127520,95719
17,East,Epping Forest,28676,48176,100016,76852
18,East,Harlow,13867,29602,59124,43469
19,East,Maldon,14529,24302,49073,38831
20,East,Rochford,17510,34937,66589,52447
21,East,Tendring,25210,57447,111167,82657
22,East,Uttlesford,25619,26324,64735,51943
23,East,Broxbourne,17166,33706,68997,50872
24,East,Dacorum,42542,43702,108965,86244
25,East,Hertsmere,27593,28532,73295,56125
26,East,North Hertfordshire,42234,35438,99316,77672
27,East,Three Rivers,25751,27097,67380,52848
28,East,Watford,23167,23419,65060,46586
29,East,Breckland,26313,47235,98989,73548
30,East,Broadland,35469,42268,99254,77737
31,East,Great Yarmouth,14284,35844,72634,50128
32,East,King's Lynn and West Norfolk,28587,56493,113884,85080
33,East,North Norfolk,26214,37576,83065,63790
34,East,Norwich,37326,29040,96091,66366
35,East,South Norfolk,38817,41541,102395,80358
36,East,Babergh,25309,29933,70628,55242
37,East,Forest Heath,9791,18160,38527,27951
38,East,Ipswich,27698,38655,91574,66353
39,East,Mid Suffolk,27391,33794,78325,61185
40,East,St Edmundsbury,26986,35224,81148,62210
41,East,Suffolk Coastal,37218,41966,98195,79184
42,East,Waveney,24356,41290,90391,65646
43,East,St Albans,54208,32237,104859,86445
44,East,Welwyn Hatfield,27550,31060,78146,58610
45,East,East Hertfordshire,42372,42994,106260,85366
46,East,Stevenage,18659,27126,62156,45785
47,East Midlands,Derby,51612,69043,171246,120655
48,East Midlands,Leicester,70980,67992,213819,138972
49,East Midlands,Rutland,11353,11613,29390,22966
50,East Midlands,Nottingham,59318,61343,195394,120661
51,East Midlands,Amber Valley,29319,44501,96760,73820
52,East Midlands,Bolsover,12242,29730,58063,41972
53,East Midlands,Chesterfield,22946,34478,79905,57424
54,East Midlands,Derbyshire Dales,22633,24095,57075,46728
55,East Midlands,Erewash,25791,40739,87596,66530
56,East Midlands,High Peak,27116,27717,72487,54833
57,East Midlands,North East Derbyshire,22075,37235,78855,59310
58,East Midlands,South Derbyshire,22479,34216,73856,56695
59,East Midlands,Blaby,22888,33583,73832,56471
60,East Midlands,Charnwood,43500,50672,133780,94172
61,East Midlands,Harborough,27028,27850,67420,54878
62,East Midlands,Hinckley and Bosworth,25969,39501,85305,65470
63,East Midlands,Melton,12695,17610,37273,30305
64,East Midlands,North West Leicestershire,22642,34969,73944,57611
65,East Midlands,Oadby and Wigston,14292,17173,42684,31465
66,East Midlands,Boston,7430,22974,39363,30404
67,East Midlands,East Lindsey,23515,56613,107009,80128
68,East Midlands,Lincoln,18902,24992,63351,43894
69,East Midlands,North Kesteven,25570,42183,86468,67753
70,East Midlands,South Holland,13074,36423,65701,49497
71,East Midlands,South Kesteven,33047,49424,105457,82471
72,East Midlands,West Lindsey,20906,33847,73499,54753
73,East Midlands,Corby,11470,20611,43313,32081
74,East Midlands,Daventry,20443,28938,61004,49381
75,East Midlands,East Northamptonshire,21680,30894,68334,52574
76,East Midlands,Kettering,21030,32877,70570,53907
77,East Midlands,Northampton,43805,61454,144948,105259
78,East Midlands,South Northamptonshire,25853,30771,71309,56624
79,East Midlands,Wellingborough,15462,25679,54572,41141
80,East Midlands,Ashfield,20179,46720,91916,66899
81,East Midlands,Bassetlaw,20575,43392,85547,63967
82,East Midlands,Broxtowe,29672,35754,83593,65426
83,East Midlands,Gedling,30035,37542,88298,67577
84,East Midlands,Mansfield,16417,39927,77624,56344
85,East Midlands,Newark and Sherwood,26571,40516,87338,67087
86,East Midlands,Rushcliffe,40522,29888,86401,70410
87,London,City of London,3312,1087,5987,4399
88,London,Barking and Dagenham,27750,46130,115812,73880
89,London,Barnet,100210,60823,223467,161033
90,London,Bexley,47603,80886,170779,128489
91,London,Brent,72523,48881,186793,121404
92,London,Bromley,92398,90034,231473,182432
93,London,Camden,71295,23838,145425,95133
94,London,Croydon,92913,78221,245349,171134
95,London,Ealing,90024,59017,212991,149041
96,London,Enfield,76425,60481,198387,136906
97,London,Greenwich,65248,52117,168967,117365
98,London,Hackney,83398,22868,163284,106266
99,London,Hammersmith and Fulham,56188,24054,114863,80242
100,London,Haringey,79991,25855,150098,105846
101,London,Harrow,64042,53183,162397,117225
102,London,Havering,42201,96885,183082,139086
103,London,Hillingdon,58040,74982,193033,133022
104,London,Hounslow,58755,56321,165050,115076
105,London,Islington,76420,25180,144514,101600
106,London,Kensington and Chelsea,37601,17138,83042,54739
107,London,Kingston upon Thames,52533,32737,108838,85270
108,London,Lambeth,111584,30340,210800,141924
109,London,Lewisham,86955,37518,197514,124473
110,London,Merton,63003,37097,136352,100100
111,London,Newham,55328,49371,176985,104699
112,London,Redbridge,69213,59020,189843,128233
113,London,Richmond upon Thames,75396,33410,132632,108806
114,London,Southwark,94293,35209,195875,129502
115,London,Sutton,49319,57241,140288,106560
116,London,Tower Hamlets,73011,35224,167820,108235
117,London,Waltham Forest,64156,44395,162983,108551
118,London,Wandsworth,118463,39421,219521,157884
119,London,Westminster,53928,24268,120524,78196
120,North East,Hartlepool,14029,32071,70341,46100
121,North East,Middlesbrough,21181,40177,94612,61358
122,North East,Redcar and Cleveland,24586,48128,103529,72714
123,North East,Stockton-on-Tees,38433,61982,141486,100415
124,North East,Darlington,24172,30994,77662,55166
125,North East,County Durham,113521,153877,389507,267398
126,North East,Northumberland,82022,96699,240496,178721
127,North East,Newcastle upon Tyne,65405,63598,190735,129003
128,North East,North Tyneside,52873,60589,156993,113462
129,North East,South Tyneside,30014,49065,115893,79079
130,North East,Sunderland,51930,82394,207221,134324
131,North East,Gateshead,44429,58529,145866,102958
132,North West,Halton,27678,37327,95289,65005
133,North West,Warrington,52657,62487,157042,115144
134,North West,Blackburn with Darwen,28522,36799,100117,65321
135,North West,Blackpool,21781,45146,102354,66927
136,North West,Cheshire East,107962,113163,285957,221125
137,North West,Cheshire West and Chester,95455,98082,259878,193537
138,North West,Allerdale,22429,31809,74426,54238
139,North West,Barrow-in-Furness,14207,21867,53194,36074
140,North West,Carlisle,23788,35895,80124,59683
141,North West,Copeland,14419,23528,54206,37947
142,North West,Eden,14807,16911,41872,31718
143,North West,South Lakeland,34531,30800,81948,65331
144,North West,Burnley,14462,28854,64461,43316
145,North West,Chorley,27417,36098,84159,63515
146,North West,Fylde,19889,26317,61174,46206
147,North West,Hyndburn,13569,26568,62042,40137
148,North West,Lancaster,35732,37309,100567,73041
149,North West,Pendle,16704,28631,64534,45335
150,North West,Preston,30227,34518,94284,64745
151,North West,Ribble Valley,15892,20550,46148,36442
152,North West,Rossendale,15012,23169,52750,38181
153,North West,South Ribble,26406,37318,84573,63724
154,North West,West Lancashire,28546,35323,85834,63869
155,North West,Wyre,22816,40163,84471,62979
156,North West,Bolton,57589,80491,197109,138080
157,North West,Bury,46354,54674,141600,101028
158,North West,Manchester,121823,79991,338064,201814
159,North West,Oldham,42034,65369,158084,107403
160,North West,Rochdale,41217,62014,156621,103231
161,North West,Salford,47430,62385,173668,109815
162,North West,Stockport,85559,77930,221162,163489
163,North West,Tameside,43118,67829,168047,110947
164,North West,Trafford,72293,53018,165294,125311
165,North West,Wigan,58942,104331,235982,163273
166,North West,Knowsley,34345,36558,111647,70903
167,North West,Liverpool,118453,85101,317924,203554
168,North West,St. Helens,39322,54357,136096,93679
169,North West,Sefton,76702,71176,206298,147878
